District,Station_name,State,Agency_name,Year,level,lat,long,is_filled
Ujjain,Vikram Kirti Mander,Madhya Pradesh,Madhya Pradesh GW,2015,3.85,23.16833333,75.80083333,False
Ujjain,Vikram Kirti Mander,Madhya Pradesh,Madhya Pradesh GW,2016,5.2,23.16833333,75.80083333,False
Ujjain,Vikram Kirti Mander,Madhya Pradesh,Madhya Pradesh GW,2017,5.35,23.16833333,75.80083333,False
Ujjain,Vikram Kirti Mander,Madhya Pradesh,Madhya Pradesh GW,2018,7.0,23.16833333,75.80083333,False
Ujjain,Vikram Kirti Mander,Madhya Pradesh,Madhya Pradesh GW,2019,4.75,23.16833333,75.80083333,False
Ujjain,Vikram Kirti Mander,Madhya Pradesh,Madhya Pradesh GW,2020,3.7,23.16833333,75.80083333,False
Ujjain,Vikram Kirti Mander,Madhya Pradesh,Madhya Pradesh GW,2021,5.7,23.16833333,75.80083333,True
Ujjain,Vikram Kirti Mander,Madhya Pradesh,Madhya Pradesh GW,2022,6.7,23.16833333,75.80083333,True
Ujjain,Bichhadod khalsa,Madhya Pradesh,Madhya Pradesh GW,2015,6.85,23.36087,75.95988083,False
Ujjain,Bichhadod khalsa,Madhya Pradesh,Madhya Pradesh GW,2016,7.05,23.36087,75.95988083,False
Ujjain,Bichhadod khalsa,Madhya Pradesh,Madhya Pradesh GW,2017,6.866666666666667,23.36087,75.95988083,False
Ujjain,Bichhadod khalsa,Madhya Pradesh,Madhya Pradesh GW,2018,7.5,23.36087,75.95988083,False
Ujjain,Bichhadod khalsa,Madhya Pradesh,Madhya Pradesh GW,2019,5.300000000000001,23.36087,75.95988083,False
Ujjain,Bichhadod khalsa,Madhya Pradesh,Madhya Pradesh GW,2020,5.3,23.36087,75.95988083,False
Ujjain,Bichhadod khalsa,Madhya Pradesh,Madhya Pradesh GW,2021,7.3,23.36087,75.95988083,True
Ujjain,Bichhadod khalsa,Madhya Pradesh,Madhya Pradesh GW,2022,8.3,23.36087,75.95988083,True
Ujjain,Dhabla rehwari,Madhya Pradesh,Madhya Pradesh GW,2015,9.55,23.26027778,75.81861111,False
Ujjain,Dhabla rehwari,Madhya Pradesh,Madhya Pradesh GW,2016,9.05,23.26027778,75.81861111,False
Ujjain,Dhabla rehwari,Madhya Pradesh,Madhya Pradesh GW,2017,8.0,23.26027778,75.81861111,False
Ujjain,Dhabla rehwari,Madhya Pradesh,Madhya Pradesh GW,2018,8.45,23.26027778,75.81861111,False
Ujjain,Dhabla rehwari,Madhya Pradesh,Madhya Pradesh GW,2019,5.4,23.26027778,75.81861111,False
Ujjain,Dhabla rehwari,Madhya Pradesh,Madhya Pradesh GW,2020,6.0,23.26027778,75.81861111,False
Ujjain,Dhabla rehwari,Madhya Pradesh,Madhya Pradesh GW,2021,8.0,23.26027778,75.81861111,True
Ujjain,Dhabla rehwari,Madhya Pradesh,Madhya Pradesh GW,2022,9.0,23.26027778,75.81861111,True
Ujjain,Ghatiya,Madhya Pradesh,Madhya Pradesh GW,2015,8.625,23.38170194,75.85768167,False
Ujjain,Ghatiya,Madhya Pradesh,Madhya Pradesh GW,2016,7.925,23.38170194,75.85768167,False
Ujjain,Ghatiya,Madhya Pradesh,Madhya Pradesh GW,2017,7.375,23.38170194,75.85768167,False
Ujjain,Ghatiya,Madhya Pradesh,Madhya Pradesh GW,2018,8.05,23.38170194,75.85768167,False
Ujjain,Ghatiya,Madhya Pradesh,Madhya Pradesh GW,2019,6.425000000000001,23.38170194,75.85768167,False
Ujjain,Ghatiya,Madhya Pradesh,Madhya Pradesh GW,2020,6.1,23.38170194,75.85768167,False
Ujjain,Ghatiya,Madhya Pradesh,Madhya Pradesh GW,2021,8.1,23.38170194,75.85768167,True
Ujjain,Ghatiya,Madhya Pradesh,Madhya Pradesh GW,2022,9.1,23.38170194,75.85768167,True
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2015,15.685714285714285,23.15626944,75.562375,False
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2016,15.685714285714285,23.15626944,75.562375,True
